UserID,text_content
U001,I love spending time alone and thinking deeply about new ideas.
U002,I'm always on the go and love meeting new people.
U003,Organization and discipline help me achieve my goals.
U004,I often feel worried or anxious even without a clear reason.
U005,I enjoy helping others and being part of a cooperative team.
U006,Creativity and imagination are at the heart of everything I do.
U007,I prefer to follow rules and keep everything in order.
U008,Social gatherings energize me and I love making new friends.
U009,I sometimes struggle with self-doubt and overthinking.
U010,Kindness and empathy guide my interactions with others. 
